FY,Category,Description,Actuals
2020,Instruction,Salaries of Teachers,5057258.96
2020,Instruction,Other Salaries for Instruction,83451.09
2020,Instruction,Purchased Professional/Technical Services,93212.13
2020,Instruction,Other Purchased Services,69469.13
2020,Instruction,General Supplies,564577.26
2020,Instruction,Textbooks,0
2020,Instruction,Miscellaneous Expense,79716.61
2020,Administrative,Salaries - Administration,1358797.85
2020,Administrative,Salaries of Secretarial/Clerical Assistants,1248891.69
2020,Administrative,Total Benefit Costs,2311937.45
2020,Administrative,Purch. Professional/Tech.Serv.(Consultants),0
2020,Administrative,Legal costs,7757.08
2020,Administrative,Other Purch. Professional/Tech Serv. (Consultants),57749.83
2020,Administrative,Other Purchased Services,21151.98
2020,Administrative,Communications/Telephone,200575.14
2020,Administrative,Supplies and Materials,149231.42
2020,Administrative,Judgments Against Charter Schools,0
2020,Administrative,Interest on Current Loans,108996.48
2020,Administrative,Interest for Lease Purchase Agreements,0
2020,Administrative,Mortgage Payments-Interest,0
2020,Administrative,Miscellaneous Expense,30510.01
2020,Support Services,Salaries,449480.34
2020,Support Services,Purch. Professional/Tech. Serv.(Consultants),149914.15
2020,Support Services,Other Purchased Services,392142.03
2020,Support Services,Rental of Land and Buildings,746426.6
2020,Support Services,"Insurance for property, liability and fidelity",110086.25
2020,Support Services,Supplies and Materials,102246.29
2020,Support Services,Transportation - Other than to/from school,0
2020,Support Services,Reserved for future use,0
2020,Support Services,Energy Costs (Heat and Electricity),232469.86
2020,Support Services,Miscellaneous Expense,1321
