FY,Category,Description,Actuals
2022,Instruction,Salaries of Teachers,4728812.4
2022,Instruction,Other Salaries for Instruction,66397.71
2022,Instruction,Purchased Professional/Technical Services,612329.5
2022,Instruction,Other Purchased Services,47194.02
2022,Instruction,General Supplies,344069.17
2022,Instruction,Textbooks,6050.86
2022,Instruction,Miscellaneous Expense,129022.05
2022,Administrative,Salaries - Administration,2233117.44
2022,Administrative,Salaries of Secretarial/Clerical Assistants,1306228.89
2022,Administrative,Total Benefit Costs,2602335.07
2022,Administrative,Purch. Professional/Tech.Serv.(Consultants),0
2022,Administrative,Legal costs,38101.06
2022,Administrative,Other Purch. Professional/Tech Serv. (Consultants),519295.85
2022,Administrative,Other Purchased Services,29813.42
2022,Administrative,Communications/Telephone,213854.91
2022,Administrative,Supplies and Materials,233975.67
2022,Administrative,Judgments Against Charter Schools,0
2022,Administrative,Interest on Current Loans,0
2022,Administrative,Interest for Lease Purchase Agreements,0
2022,Administrative,Mortgage Payments-Interest,0
2022,Administrative,Miscellaneous Expense,118690.15
2022,Support Services,Salaries,525733.99
2022,Support Services,Purch. Professional/Tech. Serv.(Consultants),160896.43
2022,Support Services,Other Purchased Services,221951.35
2022,Support Services,Rental of Land and Buildings,881264.93
2022,Support Services,"Insurance for property, liability and fidelity",152814.36
2022,Support Services,Supplies and Materials,69722.9
2022,Support Services,Transportation - Other than to/from school,462
2022,Support Services,Reserved for future use,0
2022,Support Services,Energy Costs (Heat and Electricity),317820.11
2022,Support Services,Miscellaneous Expense,483
